movie_id,title,c_h,c_m,c_l,total,status,error
1291546,霸王别姬,50,50,50,150,done,
1307914,无间道 無間道,50,50,50,150,done,
1292213,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,50,50,50,150,done,
1292365,活着,50,50,50,150,done,
1418019,大闹天宫,50,50,50,150,done,
1461403,茶馆,50,50,50,150,done,
26752088,我不是药神,50,50,50,150,done,
1291858,鬼子来了,50,50,50,150,done,
1422283,高山下的花环,50,50,50,150,done,
3742360,让子弹飞,50,50,50,150,done,
1299398,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,50,50,50,150,done,
36154853,好东西,50,50,50,150,done,
1291818,饮食男女 飲食男女,50,50,50,150,done,
1307856,背靠背，脸对脸,50,50,50,150,done,
1291543,功夫,50,50,50,150,done,
1292434,一一,50,50,50,150,done,
1428581,天书奇谭,50,50,50,150,done,
1307315,哪吒闹海,50,50,50,150,done,
1297880,芙蓉镇,50,19,50,119,done,
1306249,唐伯虎点秋香 唐伯虎點秋香,50,50,50,150,done,
1464526,横空出世,50,50,50,150,done,
1302425,喜剧之王 喜劇之王,50,50,50,150,done,
36809864,南京照相馆,50,50,50,150,done,
1292679,春光乍泄 春光乍洩,50,50,50,150,done,
36587974,出走的决心,50,50,50,150,done,
1297518,九品芝麻官,50,50,50,150,done,
1303037,喜宴 囍宴,50,50,50,150,done,
1305164,甜蜜蜜,50,50,50,150,done,
36448279,罗小黑战记2,50,50,50,150,done,
1303913,南海十三郎,50,50,50,150,done,
1291557,花样年华 花樣年華,50,50,50,150,done,
36438475,浪浪山小妖怪,50,50,50,150,done,
1297447,倩女幽魂,50,50,50,150,done,
1291999,重庆森林 重慶森林,50,50,50,150,done,
34780991,哪吒之魔童闹海,50,50,50,150,done,
1828115,色，戒,50,50,50,150,done,
21359690,熊出没之过年,50,50,50,150,done,
1292329,牯岭街少年杀人事件 牯嶺街少年殺人事件,50,50,50,150,done,
1307106,无间道2 無間道II,50,50,50,150,done,
3037329,遥望南方的童年,50,50,50,150,done,
1308038,牧马人,50,50,50,150,done,
1291875,阳光灿烂的日子,50,50,50,150,done,
1294194,悲情城市,50,50,50,150,done,
1293323,大红灯笼高高挂,50,50,50,150,done,
26794435,哪吒之魔童降世,50,50,50,150,done,
1300894,城南旧事,50,19,50,119,done,
1308857,可可西里,50,50,50,150,done,
1295409,纵横四海 縱橫四海,50,50,50,150,done,
1862151,疯狂的石头,50,50,50,150,done,
3062897,葫芦兄弟,50,50,50,150,done,
25917973,心迷宫,50,50,50,150,done,
27059130,大佛普拉斯,50,50,50,150,done,
1305261,恐怖分子 恐怖份子,50,50,50,150,done,
1316510,射雕英雄传之东成西就 射鵰英雄傳之東成西就,50,50,50,150,done,
27113517,血观音 血觀音,50,50,50,150,done,
1292287,新龙门客栈 新龍門客棧,50,50,50,150,done,
1298944,无言的山丘 無言的山丘,50,50,50,150,done,
1853621,落叶归根,50,50,50,150,done,
35267208,流浪地球2,50,50,42,142,done,混合页失败:404页面不存在; 最热页翻尽即达存量上限(页面尽头404)
1424552,大决战之辽沈战役,50,50,50,150,done,
1297574,英雄本色,50,50,50,150,done,
35883131,雄狮少年2,50,50,50,150,done,
3792799,岁月神偷 歲月神偷,50,50,50,150,done,
1292328,东邪西毒 東邪西毒,50,50,50,150,done,
4719384,哀乐中年 哀樂中年,50,50,50,150,done,
1418076,天堂回信,50,50,50,150,done,
1303394,青蛇,50,50,50,150,done,
1293237,变脸,50,50,50,150,done,
36035676,长安三万里,50,50,50,150,done,
1300741,枪火 鎗火,50,50,50,150,done,
30292777,阳光普照 陽光普照,50,50,50,150,done,
3012377,神兵小将,50,50,50,150,done,
1307766,那山那人那狗,50,50,50,150,done,
1296218,过年,50,50,50,150,done,
1304476,独立时代 獨立時代,50,50,50,150,done,
1307739,国产凌凌漆 國產凌凌漆,50,50,50,150,done,
36712987,破·地狱 破·地獄,50,50,50,150,done,
35131346,隐入尘烟,50,50,50,150,done,
27119586,谁先爱上他的 誰先愛上他的,50,50,50,150,done,
1300572,童年往事,50,50,50,150,done,
3726072,东邪西毒：终极版 東邪西毒終極版,50,50,50,150,done,
30166972,少年的你,50,50,50,150,done,
3734112,风声,50,50,50,150,done,
35725869,年会不能停！,50,50,50,150,done,
25921812,驴得水,50,50,50,150,done,
2063528,盲山,50,50,50,150,done,
36151692,周处除三害 周處除三害,50,50,50,150,done,
1424551,大决战之淮海战役,50,50,50,150,done,
34940879,年少日记 年少日記,50,50,50,150,done,
3993559,赛德克·巴莱 賽德克·巴萊,50,50,50,150,done,
1302210,神女,50,50,50,150,done,
1305690,阿飞正传 阿飛正傳,50,50,50,150,done,
1310159,梁祝,50,50,50,150,done,
35144311,雄狮少年,50,50,50,150,done,
1299643,宝莲灯,50,50,50,150,done,
1301168,卧虎藏龙 臥虎藏龍,50,50,50,150,done,
1305103,四渡赤水,50,50,50,150,done,
37332784,我，许可,50,50,50,150,done,
4876722,钢的琴,50,50,50,150,done,
10450409,赛德克·巴莱(上) 賽德克·巴萊(上)太陽旗,50,50,50,150,done,
26861685,红海行动,50,50,50,150,done,
1300883,赌神 賭神,50,50,50,150,done,
1307729,大决战之平津战役,50,50,42,142,done,
1300064,家有喜事 家有囍事,50,50,50,150,done,
26220731,熊出没之雪岭熊风,50,50,50,150,done,
26277313,西游记之大圣归来,50,50,50,150,done,
2208890,姊姊妹妹站起来,5,0,0,5,done,好评归并5条; 一般归并0条; 差评归并0条; 分类筛选403，按星级归类
36600459,捕风追影,50,50,50,150,done,
24719063,烈日灼心,50,50,50,150,done,
1297223,鹿鼎记 鹿鼎記,50,50,50,150,done,
10537853,万箭穿心,50,50,50,150,done,
1292330,恋恋风尘 戀戀風塵,50,50,50,150,done,
3649049,金陵十三钗,50,50,50,150,done,
1292895,精武英雄,50,50,50,150,done,
1303173,甲方乙方,50,50,50,150,done,
1292052,肖申克的救赎 The Shawshank Redemption,50,50,50,150,done,
1292722,泰坦尼克号 Titanic,50,50,50,150,done,
1292720,阿甘正传 Forrest Gump,50,50,50,150,done,
1889243,星际穿越 Interstellar,50,50,50,150,done,
1292064,楚门的世界 The Truman Show,50,50,50,150,done,
1295644,这个杀手不太冷 Léon,50,50,50,150,done,
3541415,盗梦空间 Inception,50,50,50,150,done,
1296141,控方证人 Witness for the Prosecution,50,50,50,150,done,
25662329,疯狂动物城 Zootopia,50,50,50,150,done,
1292063,美丽人生 La vita è bella,50,50,50,150,done,
1295124,辛德勒的名单 Schindler's List,50,50,50,150,done,
3011091,忠犬八公的故事 Hachi: A Dog's Tale,50,50,50,150,done,
1292001,海上钢琴师 La leggenda del pianista sull'oceano,50,50,50,150,done,
2131459,机器人总动员 WALL·E,50,50,50,150,done,
1291549,放牛班的春天 Les choristes,50,50,50,150,done,
6786002,触不可及 Intouchables,50,50,50,150,done,
1295038,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,50,50,50,150,done,
25958717,海蒂和爷爷 Heidi,50,50,50,150,done,
20495023,寻梦环游记 Coco,50,50,50,150,done,
1293172,末代皇帝 The Last Emperor,50,50,50,150,done,
1291841,教父 The Godfather,50,50,50,150,done,
36445098,还有明天 C'è ancora domani,50,50,50,150,done,
3319755,怦然心动 Flipped,50,50,50,150,done,
1293182,十二怒汉 12 Angry Men,50,50,50,150,done,
1291552,指环王3：王者无敌 The Lord of the Rings: The Return of the King,50,50,50,150,done,
2129039,飞屋环游记 Up,50,50,50,150,done,
1849031,当幸福来敲门 The Pursuit of Happyness,50,50,50,150,done,
1851857,蝙蝠侠：黑暗骑士 The Dark Knight,50,50,50,150,done,
1296736,钢琴家 The Pianist,50,50,50,150,done,
1300267,乱世佳人 Gone with the Wind,50,50,50,150,done,
1291548,死亡诗社 Dead Poets Society,50,50,50,150,done,
1305487,猫鼠游戏 Catch Me If You Can,50,50,50,150,done,
1299131,教父2 The Godfather: Part II,50,50,50,150,done,
1929463,少年派的奇幻漂流 Life of Pi,50,50,50,150,done,
1291572,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,50,50,50,150,done,
35426925,机器人之梦 Robot Dreams,50,50,50,150,done,
1301753,狮子王 The Lion King,50,50,50,150,done,
1298624,闻香识女人 Scent of a Woman,50,50,50,150,done,
3008247,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,50,50,50,150,done,
5294851,控方证人 Witness for the Prosecution,50,50,50,150,done,
27060077,绿皮书 Green Book,50,50,50,150,done,
1293839,罗马假日 Roman Holiday,50,50,50,150,done,
1291843,黑客帝国 The Matrix,50,50,50,150,done,
1291828,天堂电影院 Nuovo Cinema Paradiso,50,50,50,150,done,
1291544,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,50,50,50,150,done,
3011235,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,50,50,50,150,done,
1294371,摩登时代 Modern Times,50,50,50,150,done,
1306029,美丽心灵 A Beautiful Mind,50,50,50,150,done,
1900841,窃听风暴 Das Leben der Anderen,50,50,50,150,done,
